variable_name,display_name,scale,mapper,ignore_strings,splitter,missing_data_policy,unable_to_detect_policy,recode_func,role,web_filter_prio,web_timeline_prio,web_viz_prio,web_viz_log,web_viz_bins,web_display_prio,description,section,accepted_labels
G_type_of_story,Type of story,categorical,{},[], | ,drop,keep,recode_stringified_list,feature,2,4,7,,,122,"Narrative classification (e.g., Issue, Event, Human-Interest).",Fundamentals,"[issue-based, event-based, human-interest, descriptive]"
G_video_story,Video story,string,GENERIC_MAPPER,[], | ,drop,empty,recode_long_strings,standard,,,2,,,123,Concise AI-generated narrative summary of the video.,Fundamentals,
S_desc_hashtags,Hashtags,collection,{},[],,drop,,,standard,1,5,4,,,127,List of hashtags extracted from the caption.,Fundamentals,
S_desc_raw,Description,string,{},[],,drop,,,standard,,,3,,,130,Original video caption including text and hashtags.,Fundamentals,
S_isAd,Advertising (TikTok),dichotomous,{},[], | ,drop,,recode_stringified_list,feature,,,13,,,131,Platform flag indicating if the video is an advertisement.,Fundamentals,
G_advertising,Advertising (Gemini),dichotomous,{},[], | ,drop,zero,recode_stringified_list,feature,7,6,12,,,139,AI detection of advertising content (Yes/No).,Fundamentals,"[yes, no]"
G_symbols_and_brands,Symbols and brands,collection,{},"['tiktok', 'tiktok logo']", | ,drop,empty,recode_stringified_list,standard,,7,16,,,140,"Visible logos, flags, or symbols detected by AI.",Fundamentals,
G_tiktok_native,TikTok Native,dichotomous,{},[], | ,drop,keep,recode_stringified_list,feature,8,8,15,,,141,Does the video use native TikTok styles/formats? (Yes/No).,Fundamentals,"[yes, no]"
G_trend,Is it a trend?,dichotomous,{},[], | ,drop,keep,recode_stringified_list,feature,6,9,11,,,142,Is the video participating in a viral trend? (Yes/No).,Fundamentals,"[yes, no]"
B_author_nickname,Author nickname,string,{},[],,drop,keep,recode_long_strings,standard,,,,,,150,Display name of the author,Fundamentals,
G_transcript_no_repetitions,Transcript,string,{},[],,drop,keep,recode_long_strings,standard,,,,,,150,Transcription of spoken words,Fundamentals,
B_author_signature,Author signature,string,{},[],,drop,keep,recode_long_strings,standard,,,,,,151,Bio text of the author,Fundamentals,
S_IsAigc,AIGC (TikTok),dichotomous,{},[], | ,drop,,recode_stringified_list,feature,,,,,,,Platform flag indicating AI-generated content.,Fundamentals,
B_createTime,Creation time,datetime,{},[],,drop,,,standard,,,,,,,Creation timestamp,Fundamentals,
B_desc,Desc raw,raw,{},[],,drop,,recode_descriptions,raw,,,,,,,Video description text,Fundamentals,
B_desc_hashtags,Hashtags in desc,collection,{},[],,drop,,,standard,,,,,,,Hashtags in the description data.,Fundamentals,
B_desc_mentions,Desc mentions,collection,{},[],,drop,,,skip,,,,,,,User mentions (@user) found in the description.,Fundamentals,
B_desc_not_hashtags,Desc words that are not hashtags,collection,{},[],,drop,,,skip,,,,,,,Description text with hashtags removed.,Fundamentals,
B_desc_raw,Raw description,string,{},[],,drop,,,standard,,,,,,,Raw description text including all metadata.,Fundamentals,
B_effectStickers,Effect stickers,string,{},[],,drop,keep,recode_long_strings,skip,,,,,,,List of TikTok visual effects/stickers used.,Fundamentals,
B_video_duration,Video duration,ratio,{},[],,drop,,,standard,,,,,,,Video duration in seconds .,Fundamentals,
G_text_overlays,Text overlays,string,GENERIC_MAPPER,[], | ,drop,empty,recode_stringified_list,standard,,,,,,,Text detected on-screen via OCR.,Fundamentals,
S_desc,Desc raw,raw,{},[],,drop,,recode_descriptions,raw,,,,,,,Description text.,Fundamentals,
S_desc_mentions,Desc mentions,collection,{},[],,drop,,,skip,,,,,,,User mentions in the description.,Fundamentals,
S_desc_not_hashtags,Desc words that are not hashtags,collection,{},[],,drop,,,skip,,,,,,,Description text with hashtags removed.,Fundamentals,
S_poi_address,POI Address,string,{},[],,drop,keep,recode_long_strings,skip,,,,,,,Address of the Point of Interest tagged.,geography,
S_poi_city,POI City,string,{},[],,drop,keep,recode_long_strings,skip,,,,,,,City of the Point of Interest tagged.,geography,
S_poi_country,POI Country,string,{},[],,drop,keep,recode_long_strings,skip,,,,,,,Country of the Point of Interest tagged.,geography,
S_poi_name,POI Name,string,{},[],,drop,keep,recode_long_strings,skip,,,,,,,Name of the specific location/venue tagged.,geography,
S_poi_province,POI Province,string,{},[],,drop,keep,recode_long_strings,skip,,,,,,,Province/State of the Point of Interest tagged.,geography,
G_IA_critique_or_reinforcement,Critique or Reinforcement,string,GENERIC_MAPPER,[], | ,drop,empty,recode_long_strings,standard,,,,,,1301,Does the video challenge or support existing power structures?,Ideological Analysis,
G_IA_cultural_or_historical_context,Cultural or Historical Context,string,GENERIC_MAPPER,[], | ,drop,empty,recode_long_strings,standard,,,,,,1302,Relevant historical or cultural background identified by AI.,Ideological Analysis,
G_IA_dominant_ideologies,Dominant Ideologies,string,GENERIC_MAPPER,[], | ,drop,empty,recode_long_strings,standard,,,,,,1303,Prevailing social or political beliefs present in the video.,Ideological Analysis,
G_IA_power_dynamics,Power Dynamics,string,GENERIC_MAPPER,[], | ,drop,empty,recode_long_strings,standard,,,,,,1304,Relationships of authority or influence shown in the video.,Ideological Analysis,
annotated_ok,Machine Annotation OK,,,,,drop,,,standard,,,,,,,Flag indicating AI analysis completed successfully.,misc,
annotated_fail,Machine Annotation Failed,,,,,drop,,,standard,,,,,,,Flag indicating AI analysis failed.,misc,
S_challenges,Challenges ,categorical,GENERIC_MAPPER,[], | ,drop,keep,recode_stringified_list,standard,41,,,,,,Hashtags or trends associated with the video.,misc,
B_challenges,Challenges (Zeeschuimer),collection,{},[], | ,drop,,recode_challenges,skip,,,,,,,Hashtags or trends associated with the video.,misc,
G_faces_age_estimate,Average age of observed faces,ratio,{},[],,drop,median,recode_faces_age_estimate,standard,33,,40,,10,601,Estimated age range of faces visible in the video.,People (experimental),
G_main_ethnicity,Main ethnicity,categorical,GENERIC_MAPPER,[], | ,drop,keep,recode_stringified_list,feature,34,,,,,604,Primary ethnic group represented in the video.,People (experimental),
G_main_gender,Main gender,categorical,GENERIC_MAPPER,[], | ,drop,keep,recode_stringified_list,feature,35,,,,,605,Primary gender represented in the video.,People (experimental),
G_faces_ethnicity,Ethnicity of observed faces,collection,GENERIC_MAPPER,[], | ,drop,empty,recode_stringified_list,skip,,,,,,,List of ethnicities for all faces detected.,People (experimental),
G_faces_gender,Gender of observed faces,collection,GENERIC_MAPPER,[], | ,drop,empty,recode_stringified_list,skip,,,,,,,List of genders for all faces detected.,People (experimental),
G_speech_vs_music,Speech % (vs music),ratio,{},[],,drop,median,recode_speech_vs_music,standard,27,,33,,0|0.05|0.1|0.9|1,701,Ratio of spoken word to background music.,Sounds,
S_music_authorName,Music author name,string,{},[],,drop,keep,recode_long_strings,skip,,,,,,703,Name of the artist who created the song.,Sounds,
S_music_title,Music title,string,{},[],,drop,keep,recode_long_strings,skip,,,,,,704,Title of the song playing.,Sounds,
G_background_music,Background music,collection,GENERIC_MAPPER,[], | ,drop,empty,recode_stringified_list,standard,,,,,,708,Description of the style/mood of background music.,Sounds,
G_notable_sounds,Notable sounds,collection,{},"['speech', 'music']", | ,drop,empty,recode_stringified_list,standard,26,,,,,709,"Specific sound effects (e.g., sirens) detected.",Sounds,
S_music_album,Music album,string,{},[],,drop,keep,recode_long_strings,skip,,,,,,,Album where the song appeared.,Sounds,
B_music_authorName,,string,,,,drop,,,standard,,,,,,,Audio artist name .,Sounds,
B_music_id,,string,,,,drop,,,standard,,,,,,,Unique identifier for the audio track.,Sounds,
B_music_title,,string,,,,drop,,,standard,,,,,,,Audio track title .,Sounds,
plays_per_day,Plays per day,ratio,{},[],,drop,,,standard,17,11,22,yes,50,305,Average video views calculated per day since upload.,Video popularity,
completion_rate,Completion Rate,ratio,{},[],,drop,,,standard,57,,29,,,214,How much of the video did the user watch at this event,Event details,
S_stats_collectCount,Collect count,ratio,{},[],,drop,,,standard,12,12,17,yes,50,306,Number of times the video was added to a user's 'Collection',Video popularity,
S_stats_commentCount,Comment count,ratio,{},[],,drop,,,standard,13,13,18,yes,50,307,Total comments on the video.,Video popularity,
S_stats_diggCount,Digg count,ratio,{},[],,drop,,,standard,14,14,19,yes,50,308,Total likes on the video.,Video popularity,
S_stats_playCount,Play count,ratio,{},[],,drop,,,standard,15,15,20,yes,50,309,Total views on the video.,Video popularity,
S_stats_shareCount,Share count,ratio,{},[],,drop,,,standard,16,16,21,yes,50,310,Total shares of the video.,Video popularity,
B_statsV2_collectCount,Collect count,ratio,{},[],,drop,,,standard,,,,,,,Number of times the video was bookmarked.,Video popularity,
B_statsV2_commentCount,Comment count,ratio,{},[],,drop,,,standard,,,,,,,Total comments on the video.,Video popularity,
B_statsV2_diggCount,Digg count,ratio,{},[],,drop,,,standard,,,,,,,Total likes on the video.,Video popularity,
B_statsV2_playCount,Play count,ratio,{},[],,drop,,,standard,,,,,,,Total views on the video.,Video popularity,
B_statsV2_shareCount,Share count,ratio,{},[],,drop,,,standard,,,,,,,Total shares of the video.,Video popularity,
